Arduino_Pin,Alt_Name,AVR_PortBit,Suggested_PDR_AT_Use,Direction,Notes
0,D0,PE0,USB_SERIAL_RX0,reserved,"Leave for Arduino USB serial/programming"
1,D1,PE1,USB_SERIAL_TX0,reserved,"Leave for Arduino USB serial/programming"
2,D2,PE4,CPLD_START,out,"Level-sensitive start request to CPLD"
3,D3,PE5,CPLD_RESET,out,"Reset CPLD bus engine or ISA reset request"
4,D4,PG5,CPLD_DONE,in,"CPLD cycle complete/status"
5,D5,PE3,CPLD_BUSY,in,"CPLD busy/status"
6,D6,PH3,CPLD_RD,out,"AVR read strobe to CPLD register interface"
7,D7,PH4,CPLD_WR,out,"AVR write strobe to CPLD register interface"
8,D8,PH5,CPLD_CS0,out,"CPLD register bank select 0"
9,D9,PH6,CPLD_CS1,out,"CPLD register bank select 1"
10,D10,PB4,SPARE_SPI_CS,out,"Could be SD card or debug peripheral CS"
11,D11,PB5,SPARE_SPI_CS,out,"Could be auxiliary SPI chip select"
12,D12,PB6,SPARE,out,"General debug/control"
13,D13,PB7,LED_DEBUG,out,"On-board LED; useful heartbeat"
14,D14,PJ1,SERIAL3_TX,out,"Optional debug UART / keyboard MCU link"
15,D15,PJ0,SERIAL3_RX,in,"Optional debug UART / keyboard MCU link"
16,D16,PH1,SERIAL2_TX,out,"Optional peripheral UART"
17,D17,PH0,SERIAL2_RX,in,"Optional peripheral UART"
18,D18,PD3,SERIAL1_TX,out,"Optional host/debug UART"
19,D19,PD2,SERIAL1_RX,in,"Optional host/debug UART"
20,D20,PD1,I2C_SDA,bidir,"Reserve for I2C debug/display if desired"
21,D21,PD0,I2C_SCL,out,"Reserve for I2C debug/display if desired"
22,D22,PA0,AVR_DATA0,bidir,"Low byte data bus to CPLD"
23,D23,PA1,AVR_DATA1,bidir,"Low byte data bus to CPLD"
24,D24,PA2,AVR_DATA2,bidir,"Low byte data bus to CPLD"
25,D25,PA3,AVR_DATA3,bidir,"Low byte data bus to CPLD"
26,D26,PA4,AVR_DATA4,bidir,"Low byte data bus to CPLD"
27,D27,PA5,AVR_DATA5,bidir,"Low byte data bus to CPLD"
28,D28,PA6,AVR_DATA6,bidir,"Low byte data bus to CPLD"
29,D29,PA7,AVR_DATA7,bidir,"Low byte data bus to CPLD"
30,D30,PC7,AVR_DATA15,bidir,"High byte data bus to CPLD; note reversed port order"
31,D31,PC6,AVR_DATA14,bidir,"High byte data bus to CPLD; note reversed port order"
32,D32,PC5,AVR_DATA13,bidir,"High byte data bus to CPLD; note reversed port order"
33,D33,PC4,AVR_DATA12,bidir,"High byte data bus to CPLD; note reversed port order"
34,D34,PC3,AVR_DATA11,bidir,"High byte data bus to CPLD; note reversed port order"
35,D35,PC2,AVR_DATA10,bidir,"High byte data bus to CPLD; note reversed port order"
36,D36,PC1,AVR_DATA9,bidir,"High byte data bus to CPLD; note reversed port order"
37,D37,PC0,AVR_DATA8,bidir,"High byte data bus to CPLD; note reversed port order"
38,D38,PD7,CPLD_REG_A0,out,"CPLD internal register address bit 0"
39,D39,PG2,CPLD_REG_A1,out,"CPLD internal register address bit 1"
40,D40,PG1,CPLD_REG_A2,out,"CPLD internal register address bit 2"
41,D41,PG0,CPLD_REG_A3,out,"CPLD internal register address bit 3"
42,D42,PL7,AVR_ADDR7,out,"Address low byte to CPLD; note reversed port order"
43,D43,PL6,AVR_ADDR6,out,"Address low byte to CPLD; note reversed port order"
44,D44,PL5,AVR_ADDR5,out,"Address low byte to CPLD; note reversed port order"
45,D45,PL4,AVR_ADDR4,out,"Address low byte to CPLD; note reversed port order"
46,D46,PL3,AVR_ADDR3,out,"Address low byte to CPLD; note reversed port order"
47,D47,PL2,AVR_ADDR2,out,"Address low byte to CPLD; note reversed port order"
48,D48,PL1,AVR_ADDR1,out,"Address low byte to CPLD; note reversed port order"
49,D49,PL0,AVR_ADDR0,out,"Address low byte to CPLD; note reversed port order"
50,D50,PB3,SPI_MISO,in,"Reserve hardware SPI"
51,D51,PB2,SPI_MOSI,out,"Reserve hardware SPI"
52,D52,PB1,SPI_SCK,out,"Reserve hardware SPI"
53,D53,PB0,SPI_SS,out,"Reserve hardware SPI / SD select"
54,A0,PF0,AVR_CMD0,out,"Command/type bus to CPLD"
55,A1,PF1,AVR_CMD1,out,"Command/type bus to CPLD"
56,A2,PF2,AVR_CMD2,out,"Command/type bus to CPLD"
57,A3,PF3,AVR_CMD3,out,"Command/type bus to CPLD"
58,A4,PF4,AVR_CMD4,out,"Command/type bus to CPLD"
59,A5,PF5,AVR_CMD5,out,"Command/type bus to CPLD"
60,A6,PF6,AVR_STATUS0,in,"Status/IRQ bit from CPLD"
61,A7,PF7,AVR_STATUS1,in,"Status/IRQ bit from CPLD"
62,A8,PK0,AVR_ADDR8,out,"Address high byte to CPLD"
63,A9,PK1,AVR_ADDR9,out,"Address high byte to CPLD"
64,A10,PK2,AVR_ADDR10,out,"Address high byte to CPLD"
65,A11,PK3,AVR_ADDR11,out,"Address high byte to CPLD"
66,A12,PK4,AVR_ADDR12,out,"Address high byte to CPLD"
67,A13,PK5,AVR_ADDR13,out,"Address high byte to CPLD"
68,A14,PK6,AVR_ADDR14,out,"Address high byte to CPLD"
69,A15,PK7,AVR_ADDR15,out,"Address high byte to CPLD"
