Arduino_Pin,Alt_Name,AVR_PortBit,Suggested_PDR_AT_Use,Direction,Notes
0,D0,PE0,USB_SERIAL_RX0,reserved,"Leave for Arduino USB serial/programming"
1,D1,PE1,USB_SERIAL_TX0,reserved,"Leave for Arduino USB serial/programming"
2,D2,PE4,CPLD_START,out,"Pulse or level request to launch a prepared ISA cycle"
3,D3,PE5,CPLD_RESET,out,"Reset CPLD bus engine or assert ISA reset policy"
4,D4,PG5,CPLD_DONE,in,"Cycle complete/status from CPLD control block"
5,D5,PE3,CPLD_BUSY,in,"CPLD busy/status"
6,D6,PH3,CPLD_RD,out,"Mega read strobe to shared local CPLD register bus"
7,D7,PH4,CPLD_WR,out,"Mega write strobe to shared local CPLD register bus"
8,D8,PH5,AVOID_HEADER_OFFSET,reserved,"Do not use: offset D8-D13/SDA/SCL header position is awkward for downward-facing header layout"
9,D9,PH6,AVOID_HEADER_OFFSET,reserved,"Do not use: offset D8-D13/SDA/SCL header position is awkward for downward-facing header layout"
10,D10,PB4,AVOID_HEADER_OFFSET,reserved,"Do not use: offset D8-D13/SDA/SCL header position is awkward for downward-facing header layout"
11,D11,PB5,AVOID_HEADER_OFFSET,reserved,"Do not use: offset D8-D13/SDA/SCL header position is awkward for downward-facing header layout"
12,D12,PB6,AVOID_HEADER_OFFSET,reserved,"Do not use: offset D8-D13/SDA/SCL header position is awkward for downward-facing header layout"
13,D13,PB7,AVOID_HEADER_OFFSET,reserved,"Do not use: offset D8-D13/SDA/SCL header position is awkward for downward-facing header layout"
14,D14,PJ1,CPLD_CS0,out,"Chip select for CPLD 0 on the shared local bus"
15,D15,PJ0,CPLD_CS1,out,"Chip select for CPLD 1 on the shared local bus"
16,D16,PH1,CPLD_CS2,out,"Chip select for CPLD 2 on the shared local bus"
17,D17,PH0,CPLD_CS3,out,"Chip select for CPLD 3 on the shared local bus"
18,D18,PD3,CPLD_IRQ_PENDING,in,"Aggregated interrupt-pending indication from CPLD cluster"
19,D19,PD2,CPLD_READ_DATA_READY,in,"Optional read-data-ready / vector-ready indication"
20,D20,PD1,AVOID_HEADER_OFFSET,reserved,"Do not use: offset D8-D13/SDA/SCL header position is awkward for downward-facing header layout"
21,D21,PD0,AVOID_HEADER_OFFSET,reserved,"Do not use: offset D8-D13/SDA/SCL header position is awkward for downward-facing header layout"
22,D22,PA0,CPLD_MD0,bidir,"Active low-byte local data bus to CPLD cluster"
23,D23,PA1,CPLD_MD1,bidir,"Active low-byte local data bus to CPLD cluster"
24,D24,PA2,CPLD_MD2,bidir,"Active low-byte local data bus to CPLD cluster"
25,D25,PA3,CPLD_MD3,bidir,"Active low-byte local data bus to CPLD cluster"
26,D26,PA4,CPLD_MD4,bidir,"Active low-byte local data bus to CPLD cluster"
27,D27,PA5,CPLD_MD5,bidir,"Active low-byte local data bus to CPLD cluster"
28,D28,PA6,CPLD_MD6,bidir,"Active low-byte local data bus to CPLD cluster"
29,D29,PA7,CPLD_MD7,bidir,"Active low-byte local data bus to CPLD cluster"
30,D30,PC7,CPLD_MD15_RESERVED,bidir,"Reserved for future 16-bit Mega-to-CPLD local data bus; high byte bit 15"
31,D31,PC6,CPLD_MD14_RESERVED,bidir,"Reserved for future 16-bit Mega-to-CPLD local data bus; high byte bit 14"
32,D32,PC5,CPLD_MD13_RESERVED,bidir,"Reserved for future 16-bit Mega-to-CPLD local data bus; high byte bit 13"
33,D33,PC4,CPLD_MD12_RESERVED,bidir,"Reserved for future 16-bit Mega-to-CPLD local data bus; high byte bit 12"
34,D34,PC3,CPLD_MD11_RESERVED,bidir,"Reserved for future 16-bit Mega-to-CPLD local data bus; high byte bit 11"
35,D35,PC2,CPLD_MD10_RESERVED,bidir,"Reserved for future 16-bit Mega-to-CPLD local data bus; high byte bit 10"
36,D36,PC1,CPLD_MD9_RESERVED,bidir,"Reserved for future 16-bit Mega-to-CPLD local data bus; high byte bit 9"
37,D37,PC0,CPLD_MD8_RESERVED,bidir,"Reserved for future 16-bit Mega-to-CPLD local data bus; high byte bit 8"
38,D38,PD7,CPLD_RA0,out,"Shared local register address bit 0"
39,D39,PG2,CPLD_RA1,out,"Shared local register address bit 1"
40,D40,PG1,CPLD_RA2,out,"Shared local register address bit 2"
41,D41,PG0,CPLD_RA3,out,"Shared local register address bit 3"
42,D42,PL7,CPLD_EXT0_RESERVED,out,"Reserved for future local-bus extension or width/lane control"
43,D43,PL6,CPLD_EXT1_RESERVED,out,"Reserved for future local-bus extension or width/lane control"
44,D44,PL5,CPLD_EXT2_RESERVED,out,"Reserved for future local-bus extension or width/lane control"
45,D45,PL4,CPLD_EXT3_RESERVED,out,"Reserved for future local-bus extension or width/lane control"
46,D46,PL3,CPLD_EXT4_RESERVED,out,"Reserved for future local-bus extension or width/lane control"
47,D47,PL2,CPLD_EXT5_RESERVED,out,"Reserved for future local-bus extension or width/lane control"
48,D48,PL1,CPLD_EXT6_RESERVED,out,"Reserved for future local-bus extension or width/lane control"
49,D49,PL0,CPLD_EXT7_RESERVED,out,"Reserved for future local-bus extension or width/lane control"
50,D50,PB3,SPI_MISO,in,"Reserve hardware SPI"
51,D51,PB2,SPI_MOSI,out,"Reserve hardware SPI"
52,D52,PB1,SPI_SCK,out,"Reserve hardware SPI"
53,D53,PB0,SPI_SS,out,"Reserve hardware SPI / SD select"
54,A0,PF0,CPLD_CTRL0,out,"Cycle-control / mode bit 0 or spare local bus control"
55,A1,PF1,CPLD_CTRL1,out,"Cycle-control / mode bit 1 or spare local bus control"
56,A2,PF2,CPLD_CTRL2,out,"Cycle-control / mode bit 2 or spare local bus control"
57,A3,PF3,CPLD_CTRL3,out,"Cycle-control / mode bit 3 or spare local bus control"
58,A4,PF4,CPLD_CTRL4,out,"Cycle-control / mode bit 4 or spare local bus control"
59,A5,PF5,CPLD_CTRL5,out,"Cycle-control / mode bit 5 or spare local bus control"
60,A6,PF6,CPLD_STATUS0,in,"Status / width / error bit from CPLD cluster"
61,A7,PF7,CPLD_STATUS1,in,"Status / width / error bit from CPLD cluster"
62,A8,PK0,CPLD_FUTURE_ADDR8_RESERVED,out,"Reserved if a future local protocol wants a wider host-side address field"
63,A9,PK1,CPLD_FUTURE_ADDR9_RESERVED,out,"Reserved if a future local protocol wants a wider host-side address field"
64,A10,PK2,CPLD_FUTURE_ADDR10_RESERVED,out,"Reserved if a future local protocol wants a wider host-side address field"
65,A11,PK3,CPLD_FUTURE_ADDR11_RESERVED,out,"Reserved if a future local protocol wants a wider host-side address field"
66,A12,PK4,CPLD_FUTURE_ADDR12_RESERVED,out,"Reserved if a future local protocol wants a wider host-side address field"
67,A13,PK5,CPLD_FUTURE_ADDR13_RESERVED,out,"Reserved if a future local protocol wants a wider host-side address field"
68,A14,PK6,CPLD_FUTURE_ADDR14_RESERVED,out,"Reserved if a future local protocol wants a wider host-side address field"
69,A15,PK7,CPLD_FUTURE_ADDR15_RESERVED,out,"Reserved if a future local protocol wants a wider host-side address field"
