word_name	stack_effect	description
NOP	( -- )	Primitive opcode
jump	( -- )	Primitive opcode
?rx	( -- c T | F)	Primitive opcode
tx!	( c -- )	Primitive opcode
doLIT	( -- w )	Primitive opcode
doLIST	( a -- )	Primitive opcode
doVAR	( -- a )	Primitive opcode
next		Primitive opcode
?branch	( f -- )	Primitive opcode
branch	( -- )	Primitive opcode
EXECUTE	( xt -- )	Primitive opcode
EXIT		Primitive opcode
!	( w a -- )	Primitive opcode
@	( a -- w )	Primitive opcode
C!	( c b -- )	Primitive opcode
C@	( b -- c )	Primitive opcode
RP!	( a -- )	Primitive opcode
RP@	( -- a )	Primitive opcode
R>	( -- w )	Primitive opcode
R@	( -- w )	Primitive opcode
>R	( w -- )	Primitive opcode
SP@	( -- a )	Primitive opcode
SP!	( a -- )	Primitive opcode
DROP	( w -- )	Primitive opcode
DUP	( w -- w w)	Primitive opcode
SWAP	( w1 w2 -- w2 w1 )	Primitive opcode
OVER	( w1 w2 -- w1 w2 w1 )	Primitive opcode
0<	( n -- f )	Primitive opcode
AND	( w w -- w )	Primitive opcode
OR	( w w -- w )	Primitive opcode
XOR	( w w -- w )	Primitive opcode
UM+	( w w -- w cy )	Primitive opcode
SP0	(-- a)	Pointer to bottom of the data stack.
RP0	(-- a)	Pointer to bottom of the return stack.
'?KEY	(-- a)	Execution vector of ?KEY.
'EMIT	(-- a)	Execution vector of EMIT.
'EXPECT	(-- a)	Execution vector of EXPECT.
'TAP	(-- a)	Execution vector of TAP.
'ECHO	(-- a)	Execution vector of ECHO.
'PROMPT	(-- a)	Execution vector of PROMPT.
'BOOT	(-- a)	Execution vector of BOOT.
'FIND	(-- a)	Execution vector of FIND.
BASE	(-- a)	Storage of the radix base for numeric I/O.
tmp	(-- a)	A temporary storage location used in parse and find. [compile-only]
SPAN	(-- a)	Hold character count received by EXPECT.
>IN	(-- a)	Hold the character pointer while parsing input stream.
#TIB	(-- a)	Hold the current count and address of the terminal input buffer.
CSP	(-- a)	Hold the stack pointer for error checking.
'EVAL	(-- a)	Execution vector of EVAL.
'NUMBER	(-- a)	Execution vector of NUMBER?.
HLD	(-- a)	Hold a pointer in building a numeric output string.
HANDLER	(-- a)	Hold the return stack pointer for error handling.
FORTHVOC	(-- a)	Writable FORTH vocabulary record.
CONTEXT	(-- a)	A area to specify vocabulary search order.
CURRENT	(-- a)	Point to the vocabulary to be extended.
CP	(-- a)	Runtime dictionary allocation pointer (HERE).
TOKBUF	(-- a)	Point to the token scratch buffer.
LAST	(-- a)	Point to the last dictionary header.
FIND_TOKEN		
FIND_CHAR		
UP	( -- a, Pointer to the user area.)	
doUSER	( -- a )	[compile-only]
doVOC	( -- )	[compile-only]
FORTH	( -- )	
?DUP	( w -- w w | 0 )	
ROT	( w1 w2 w3 -- w2 w3 w1 )	
2DROP	( w w  -- )	
2DUP	( w1 w2 -- w1 w2 w1 w2 )	
+	( w w -- w )	
NOT	( w -- w )	
NEGATE	( n -- -n )	
DNEGATE	( d -- -d )	
D+	( d d -- d )	
-	( w w -- w )	
ABS	( n -- +n )	
=	( w w -- t )	
U<	( u u -- t )	
<	( n n -- t )	
MAX	( n n -- n )	
MIN	( n n -- n )	
WITHIN	( u ul uh -- t )	
UM/MOD	( ud u -- ur uq )	
M/MOD	( d n -- r q )	floored division
/MOD	( n n -- r q )	
MOD	( n n -- r )	
/	( n n -- q )	
UM*	( u u -- ud )	
*	( n n -- n )	
M*	( n n -- d )	
*/MOD	( n n n -- r q )	
*/	( n n n -- q )	
CELL-	(a -- a)	
CELL+	(a -- a)	
CELLS	(n -- n)	
ALIGNED	(b -- a)	
BL	(-- 32)	
>CHAR	(c -- c)	
DEPTH	(-- n)	
PICK	(+n -- w)	
+!	(n a --)	
2!	(d a --)	
2@	(a -- d)	
COUNT	(b -- b +n)	
HERE	(-- a)	
PAD	(-- a)	
TIB	(-- a)	
@EXECUTE	(a --)	
CMOVE	(b b u --)	
FILL	(b u c --)	
-TRAILING	(b u -- b u)	
PACK$	(b u a -- a)	
DIGIT	(u -- c)	
EXTRACT	(n base -- n c)	
<#	(--)	
HOLD	(c --)	
#	(u -- u)	
#S	(u -- 0)	
SIGN	(n --)	
#>	(w -- b u)	
str	(n -- b u)	
HEX	(--)	
DECIMAL	(--)	
.R	(n +n --)	
U.R	(u +n --)	
U.	(u --)	
.	(w --)	
?	(a --)	
DIGIT?	(c base -- u t)	
NUMBER?	(a -- n T | a F)	
?KEY	(-- c T | F)	
KEY	(-- c)	
EMIT	(c --)	
NUF?	(-- f)	
PACE	(--)	
SPACE	(--)	
CHARS	(+n c --)	
SPACES	(+n --)	
TYPE	(b u --)	
CR	(--)	
do$	(-- a)	[compile-only]
$"|	(-- a)	[compile-only]
."|	(--)	[compile-only]
parse	(b u c -- b u delta ; <string>)	
PARSE	(c -- b u ; <string>)	
.(	(--)	[immediate]
(	(--)	[immediate]
\\	(--)	[immediate]
CHAR	(-- c)	
TOKEN	(-- a ; <string>)	
WORD	(c -- a ; <string>)	
NAME>	(na -- xt)	
SAME?	(a a u -- a a f \\ -0+)	
MATCH?	(a a u -- t)	
find	(a va -- xt na | a F)	[compile-only]
NAME?	(a -- xt na | a F)	[compile-only]
^H	(b b b -- b b b)	
TAP	(bot eot cur c -- bot eot cur)	
